id,title,description,type,difficulty,action_taken_A,good_result_chance_A,gold_effect_A_good,provisions_effect_A_good,morale_effect_A_good,crew_effect_A_good,gold_effect_A_bad,provisions_effect_A_bad,morale_effect_A_bad,crew_effect_A_bad,action_taken_B,good_result_chance_B,gold_effect_B_good,provisions_effect_B_good,morale_effect_B_good,crew_effect_B_good,gold_effect_B_bad,provisions_effect_B_bad,morale_effect_B_bad,crew_effect_B_bad
1,Rough Waters,High waves bombard the ship,Sea,1,Drop anchor,1,0,-2,3,0,0,0,0,0,Brave the waters,0.7,0,-1,4,3,0,-3,-2,-1
2,Approaching Storm,The crew sees dark clouds on the horizon,Sea,3,Continue ahead,0.6,0,0,4,0,0,-2,-2,-2,Alter ship's course,1,-1,-1,1,0,0,0,0,0
3,Caught in Storm,The ship is caught in a sudden storm,Sea,4,Push through the storm,0.4,-1,-2,2,0,-3,-5,-4,-3,Drop anchor and weather the storm,0.6,0,-3,-2,0,-3,-4,-4,0
4,Crew Mutiny,Crew rebels against the captain,Sea,5,Kill the traitors,0.7,2,0,3,-10,0,0,-5,-15,Kill the mutiny's leader,0.5,0,0,3,-1,0,0,-4,-5
5,Navigation Error,A miscalculation results in a navigation error,Sea,3,Chart a new course,1,-2,-3,1,0,0,0,0,0,Attempt to follow the original course,0.6,0,-1,2,0,-2,-3,-3,-2
6,Fire on the Ship,A fire in the galley spread towards the gunpowder magazine,Sea,5,Form bucket brigade and throw barrels of gunpowder overboard,1,-4,-8,2,0,0,0,0,0,Sail upwind to blow flames away from ship and attempt to smother the fire,0.5,-2,-2,5,0,-7,-10,-5,-3
7,Food Shortage,Food spoils due to saltwater contaimination and heat,Sea,4,Ration what remains unspoiled,1,0,-2,-1,0,0,0,0,0,Search for land and try to resupply,0.65,0,4,2,0,0,-4,-3,-1
8,Water Shortage,Fresh water spills from water casks due to improper storage  and rough seas,Sea,5,Collect fresh water from rainfall,0.7,0,2,1,0,0,0,-2,-3,Return to pirate haven to resupply,1,-2,4,0,0,0,0,0,0
9,Smallpox Outbreak,Smallpox begins to spread among the crew from an infected crew member,Sea,3,Quarantine infected crew,0.8,0,0,2,0,0,0,-4,-5,Force infected crew to abandon ship using the ship's boats,1,0,0,1,-1,0,0,0,0
10,Foggy Waters,A dense fog envelops the ship,Sea,2,Navigate slowly through the fog,0.75,-1,1,-1,-1,-2,-3,-3,-2,Drop anchor and wait for fog to clear,1,-1,-1,1,0,0,0,0,0
11,Ship Runs Aground,Ship strikes a barrier reef in shallow water,Sea,3,Attempt to free the ship using anchors and ropes,0.6,0,-1,3,0,-2,-3,-2,-2,Use the ship's longboat to search for nearby land,0.5,3,5,4,0,-1,-3,-2,-3
12,Sudden Squall,"A small, unexpected squall suddenly hits the ship",Sea,3,Drop the sails to reduce wind resistance and stabilize the ship,1,-1,-2,2,0,0,0,0,0,Adjust the course to angle the ship into the wind and ride it out,0.7,0,0,3,0,-2,-3,-3,-2
13,Unfamiliar Waters,The ship enters an unknown and dangerous part of the sea,Sea,4,Carefully navigate using the stars and compass,0.8,0,0,3,0,-4,-3,-4,-3,Risk a faster route through uncharted waters,0.4,2,0,2,-2,-5,-3,-5,-5
14,Pirate Encounter,Another pirate ship is spotted on the horizon,Sea,5,Avoid the pirates and continue on your way,1,2,-1,1,0,0,0,0,0,Make contact with ship and form alliance to attack a coastal city,0.4,8,7,5,12,-5,-4,-3,-12
